iter	Passed	Remaining
745	745	17364	5746	17368	5882
747	17397	5861
748	17429	5841
749	17453	5817
750	17474	5793
751	17500	5771
752	17526	5749
753	17548	5725
754	17573	5702
755	17595	5679
756	756	17641	5757	757	17663	5758	758	17686	5759	759	17707	5760	760	17731	5761	761	17756	5762	17755	5515
763	17773	5490
764	17795	5466
765	17814	5442
766	17839	5419
767	767	17888	5768	768	17917	5769	769	17937	5770	770	17958	5771	771	17979	5772	772	18001	5773	773	18024	5774	774	18055	5775	775	18074	5776	776	18095	5777	777	18118	5778	778	18141	5779	779	18163	5780	780	18183	5781	781	18206	5782	782	18228	5783	783	18255	5784	784	18279	5785	785	18306	4786	18314	4956
787	18343	4935
788	788	18394	4789	18400	4891
790	18432	4870
791	18459	4847
792	18484	4824
793	18507	4801
794	18532	4778
795	18556	4755
796	18576	4731
797	18606	4709
798	18632	4687
799	18656	4664
800	18682	4641
801	18704	4617
802	18735	4596
803	18754	4571
804	18776	4548
805	18799	4525
806	18830	4503
807	18847	4478
808	18868	4454
809	18889	4430
810	18915	4408
811	18935	4384
812	18954	4359
813	18973	4335
814	18991	4310
815	19011	4286
816	19032	4263
817	19052	4239
818	19069	4214
819	19089	4190
820	19109	4166
821	19131	4142
822	19146	4117
823	19165	4093
824	19184	4069
825	19208	4046
826	19229	4022
827	19247	3998
828	19266	3974
829	19287	3950
830	19304	3925
831	19329	3903
832	19354	3880
833	19377	3856
834	19404	3834
835	19425	3810
836	19445	3786
837	19467	3763
838	19489	3740
839	19510	3716
840	19528	3692
841	19550	3668
842	19572	3645
843	19590	3620
844	19612	3597
845	19633	3573
846	19652	3549
847	19670	3525
848	19690	3502
849	19715	3479
850	19735	3455
851	19755	3431
852	19775	3408
853	19796	3384
854	19816	3360
855	19841	3337
856	19868	3315
857	19898	3293
858	19923	3270
859	19945	3246
860	19965	3223
861	19986	3199
862	20015	3177
863	20041	3154
864	864	20101	3865	865	20127	3866	20122	3086
867	867	20182	3868	868	20200	3869	869	20224	3870	870	20243	2871	871	20269	2872	872	20295	2873	873	20325	28748874	20349	2875	875	20374	2876	876	20402	2861
877	20439	2840
878	20468	2817
879	20496	2794
880	20519	2771
881	20546	2748
882	20576	2726
883	20608	2704
884	20633	2681
885	20660	2658
886	20683	2634
887	20706	2611
888	20728	2588
889	20743	2563
890	20759	2539
891	20778	2515
892	20796	2491
893	20815	2468
894	20833	2444
895	20849	2420
896	20874	2396
897	20892	2373
898	20922	2350
899	20953	2328
900	20975	2304
901	21000	2281
902	21026	2258
903	21048	2235
904	21070	2211
905	21093	2188
906	21116	2165
907	21142	2142
908	21167	2119
909	21193	2096
910	21211	2072
911	21239	2049
912	21263	2026
913	21283	2002
914	21303	1979
915	21323	1955
916	21344	1931
917	21364	1908
918	21384	1884
919	21405	1861
920	21428	1838
921	21448	1814
922	21470	1791
923	21490	1767
924	21515	1744
925	21536	1721
926	21553	1697
927	21573	1673
928	21598	1650
929	21615	1626
930	21635	1603
931	21652	1579
932	21673	1556
933	21690	1532
934	21713	1509
935	21736	1486
936	21753	1462
937	21773	1439
938	21795	1415
939	21817	1392
940	21836	1369
941	21855	1345
942	21876	1322
943	21895	1298
944	21917	1275
945	21939	12529946	21969	1229
947	21994	1206
948	22020	1183
949	22039	1159
950	22063	1136
951	22081	1113
952	22109	1090
953	22131	1067
954	22154	1043
955	22175	1020
956	22199	997
957	22226	974
958	22251	951
959	22272	928
960	22297	904
961	22320	881
962	22341	963	963	22365	835
964	22400	812
965	22446	790
966	22472	7669967	22496	7439968	22529	7209969	22560	6979970	22599	6749971	22643	6529972	22676	9739973	22712	9749974	22744	975975	22763	59769976	22826	9779977	22862	9789978	22890	979	979	22926	980	980	22951	9819981	22966	982	982	22981	983	983	23007	984	984	23034	985	985	23053	986	23041	303
987	987	23107	988	23098	256
989	989	23154	990	990	23175	991	991	23202	992	992	23226	993	993	23240	994	994	23252	995	995	23263996	996	23274997	997	23285998	998	23294999	999	23302	0
